institution name	HD2018.City location of institution	HD2018.State abbreviation	HD2018.Level of institution	HD2018.Control of institution	HD2018.Highest level of offering	HD2018.Highest degree offered	HD2018.Institution has hospital	HD2018.Historically Black College or University	HD2018.Tribal college	IC2018.Open admission policy	HD2018.Degree of urbanization (Urban-centric locale)	Setting	HD2018.Longitude location of institution	HD2018.Latitude location of institution	HD2018.Data Feedback Report comparison group created by NCES	HD2018.Carnegie Classification 2018: Size and Setting	Size	IC2018.Calendar system	isIvy	State;HBC;Tribal;Ivy	Tuition	Tuition (in-state)	Description	Undergrad Enrollment
Stanbridge University Los Angeles	Alhambra	California	At least 2 but less than 4 years	Private for-profit	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	No	Suburb: Large	Suburb	-118.14879	34.080319	"Other Associate's Colleges, private for-profit/1 of n"	"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"	not in Carnegie universe (not accredited or nondegree-granting)	Differs by program	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Bishop State Community College	Mobile	Alabama	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	Yes	No	Yes	City: Midsize	City	-88.056982	30.693972	"Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional, public/1 of 2"	"Two-year, medium"	medium	Semester	No	Public;Yes;No;No	#N/A	#N/A	#N/A	#N/A
GateWay Community College	Phoenix	Arizona	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	City: Large	City	-111.997077	33.449686	"Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional, public/1 of 2"	"Two-year, medium"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Baptist Health College Little Rock	Little Rock	Arkansas	At least 2 but less than 4 years	Private not-for-profit	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	No	City: Midsize	City	-92.40692	34.713115	"Special Focus Two Year: Health, private not-for-profit"	"Two-year, small"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
National Park College	Hot Springs	Arkansas	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	Suburb: Small	Suburb	-93.119248	34.512687	"Associate's Colleges: High Career & Technical-High Traditional, public/2 of 2"	"Two-year, small"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
University of Arkansas Pulaski Technical College	North Little Rock	Arkansas	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	City: Small	City	-92.299184	34.782783	"Associate's Colleges: High Transfer-High Traditional, public/3 of 4"	"Two-year, medium"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Allan Hancock College	Santa Maria	California	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	City: Midsize	City	-120.421144	34.943716	"Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional, public/1 of 4"	"Two-year, large"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
American River College	Sacramento	California	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	Suburb: Large	Suburb	-121.349672	38.65085	"Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional, public/1 of 4"	"Two-year, very large"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Butte College	Oroville	California	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	Rural: Distant	Rural	-121.644831	39.649782	"Associate's Colleges: High Career & Technical-High Traditional, public/1 of 2"	"Two-year, large"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Canada College	Redwood City	California	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	Suburb: Large	Suburb	-122.265398	37.44877	"Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional, public/3 of 4"	"Two-year, medium"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
